"Title","PlayCount","ReleaseDate","Time","Png","Mp3","Mp4"
"Eternal Ring","8","2025-05-14","05:19:00","https://dn721303.ca.archive.org/0/items/eternal-ring_202505/Eternal%20Ring.png","https://ia601900.us.archive.org/23/items/eternal-ring_202505/Eternal%20Ring.mp3","https://www.youtube.com/watch?v=8N5d4tWz83E"
"Gravity Shift","1","2025-05-21","03:05:00","https://ia600800.us.archive.org/16/items/gravity-shift/Gravity%20Shift.png","https://dn721204.ca.archive.org/0/items/gravity-shift/Gravity%20Shift.mp3","https://www.youtube.com/watch?v=Dz22eaLBDO8"
"Unknown Side","8","2025-05-28","04:53:00","https://dn721502.ca.archive.org/0/items/unknown-side/Unknown%20Side.png","https://dn721502.ca.archive.org/0/items/unknown-side/Unknown%20Side.mp3","https://www.youtube.com/watch?v=E5KM-sjEDww&themeRefresh=1"
"Perpetual Seed","1","2025-06-04","04:29:00","https://dn721202.ca.archive.org/0/items/perpetual-seed/Perpetual%20Seed.png","https://dn721202.ca.archive.org/0/items/perpetual-seed/Perpetual%20Seed.mp3","https://www.youtube.com/watch?v=YKOqZEkdgd8"
"Echoes","0","2025-06-11","03:04:00","https://ia800706.us.archive.org/5/items/echoes_202506/Echoes.png","https://ia600706.us.archive.org/5/items/echoes_202506/Echoes.mp3","https://www.youtube.com/watch?v=GLz1HhQ3zL0"
"White Hat","0","2025-06-18","03:38:00","https://dn721603.ca.archive.org/0/items/white-hat_202506/White%20Hat.png","https://dn721603.ca.archive.org/0/items/white-hat_202506/White%20Hat.mp3","https://www.youtube.com/watch?v=2elxFjRtSHU"
"Evermore","10","2025-06-25","05:08:00","https://archive.org/download/Evermore/Evermore.png","https://ia800908.us.archive.org/9/items/Evermore/Evermore.mp3","https://www.youtube.com/watch?v=M9hn8tojxUE"
"Timeless","0","2025-07-02","03:39:00","https://ia600205.us.archive.org/0/items/timeless_202506/Timeless.png","https://ia600205.us.archive.org/0/items/timeless_202506/Timeless.mp3","https://www.youtube.com/watch?v=_2YYsApvLmM"
"Electromatix","0","2025-07-09","04:07:00","https://archive.org/download/Electromatix/Electromatix.png","https://dn721801.ca.archive.org/0/items/Electromatix/Electromatix.mp3","https://www.youtube.com/@Vortex-Music-0ff/videos"
